Store,Saleable Quantity,State
"Prescott1851 E Highway 69 Prescott, AZ 86301-5665",105,AZ
"Glendale10404 N 43rd Ave Glendale, AZ 85302-2019",157,AZ
"Phoenix North Central2727 W Agua Fria Fwy Phoenix, AZ 85027-3929",149,AZ
"Deer Valley16806 N 7th St Phoenix, AZ 85022-2662",0,AZ
"Phoenix Spectrum5715 N 19th Ave Phoenix, AZ 85015-2433",145,AZ
"Paradise Valley12602 N Paradise Village Pkwy W Phoenix, AZ 85032-7671",138,AZ
"Phoenix NE21001 N Tatum Blvd Ste 20 Phoenix, AZ 85050-4207",156,AZ
"South Mountain2140 E Baseline Rd Phoenix, AZ 85042-6910",162,AZ
"Arcadia Crossing4515 E Thomas Rd Phoenix, AZ 85018-7614",0,AZ
"Far North Scottsdale32351 N Scottsdale Rd Scottsdale, AZ 85266-1513",115,AZ
"North Scottsdale15444 N Frank Lloyd Wright Blvd Scottsdale, AZ 85260-2845",58,AZ
"Ahwatukee4734 E Ray Rd Phoenix, AZ 85044-6225",248,AZ
"Farmington4900 E Main St Farmington, NM 87402-8658",23,NM
"Scottsbluff1401 Frontage Rd Scottsbluff, NE 69361-2773",89,NE
"Cheyenne1708 Dell Range Blvd Cheyenne, WY 82009-4945",117,WY
"Silverthorne715 Blue River Pkwy Silverthorne, CO 80498-9224",131,CO
"Boulder2800 Pearl St Boulder, CO 80301-1123",164,CO
"Superior400 Marshall Rd Superior, CO 80027-8623",125,CO
"Longmont551 S Hover Rd Longmont, CO 80501-7920",177,CO
"Denver West14500 W Colfax Ave Unit B1 Lakewood, CO 80401-3203",170,CO
"Arvada South5071 Kipling St Wheat Ridge, CO 80033-2251",166,CO
"Westminster10445 Reed St Westminster, CO 80021-6063",148,CO
"Arvada7899 Wadsworth Blvd Arvada, CO 80003-2107",138,CO
"Lakewood460 S Vance St Lakewood, CO 80226-3305",142,CO
"Edgewater1985 Sheridan Blvd Edgewater, CO 80214-1325",83,CO
"Denver SW9390 W Cross Dr Littleton, CO 80123-2202",16,CO
"Westminster NE14451 Orchard Pkwy Westminster, CO 80023-9174",166,CO
"Fort Collins105 W Troutman Pkwy Fort Collins, CO 80525-3038",127,CO
"Thornton1001 E 120th Ave Thornton, CO 80233-5711",179,CO
"Loveland1725 Rocky Mountain Ave Loveland, CO 80538-8851",145,CO
"Fort Collins East2936 Council Tree Ave Fort Collins, CO 80525-6300",143,CO
"Sheridan3650 Riverpoint Pkwy Sheridan, CO 80110-3312",135,CO
"Montrose3530 Wolverine Dr Montrose, CO 81401-4952",89,CO
"Far North Scottsdale32351 N Scottsdale Rd Scottsdale, AZ 85266-1513",114,AZ
